ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,date_start,impressions,spend,purchases,revenue
120211644023140668,General H2,120211644023090668,General,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-31,12,0.22,0,0.0
120211761181960668,Green,120211761181900668,Canada,120211761168410668,Testing CBO - Country Expansion 1 - 31/10,2024-10-31,315,6.5,0,0.0
120211761181830668,White,120211761181900668,Canada,120211761168410668,Testing CBO - Country Expansion 1 - 31/10,2024-10-31,9,0.11,0,0.0
120211643303020668,Video 1 - 08-24,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-31,705,18.22,0,0.0
120210970753680668,Pink,120210970753690668,Pink,120209660513520668,AuraReveal | Testing Creatives,2024-10-31,4552,98.11,28,958.82
120211761181820668,Inny wstep,120211761181990668,United Kingdom,120211761168410668,Testing CBO - Country Expansion 1 - 31/10,2024-10-31,95,2.16,0,0.0
120211284504480668,White,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-31,21,0.32,0,0.0
120211358933990668,Inny wstep,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-31,335,6.7,0,0.0
120211644023080668,General H1,120211644023090668,General,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-31,1025,24.7,0,0.0
120211627054030668,Pink,120211627053860668,Pink,120211627053770668,Testing CBO - Top OldCreatives - 25/10,2024-10-31,442,10.37,0,0.0
120210646786120668,White,120210646786200668,White,120209660513520668,AuraReveal | Testing Creatives,2024-10-31,4193,98.08,21,869.11
120211761181850668,Inny wstep,120211761181900668,Canada,120211761168410668,Testing CBO - Country Expansion 1 - 31/10,2024-10-31,146,2.08,0,0.0
120211644023170668,Ex Back H2,120211644023120668,Ex Back,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-31,289,11.17,7,239.7
